Industry,Skill Set,Skill,Skill Type,,,,
Finance,Programming/Technical,PR,C++,,,,
Finance,Programming/Technical,PR,Python,,,,
Finance,Programming/Technical,PR,R,,,,
Finance,Programming/Technical,PR,SQL,,,,
Finance,Business,BU,Marketing,,,,
Finance,Soft Skill,SS,Good Communication,,,,
Finance,Programming/Technical,PR,Natural Language Processing,,,,
Finance,Business,BU,Behaviroal Finance,,,,
Finance,Mathematics,MAT,Statistics,,,,
Finance,Programming/Technical,PR,Building Machine Learning Model,,,,
Finance,Programming/Technical,PR,Hadoop,,,,
Finance,Programming/Technical,PR,Spark,,,,
Finance,Programming/Technical,PR,Tensorflow,,,,
Finance,Programming/Technical,PR,RDBMS,,,,
Finance,Programming/Technical,PR,Scala,,,,
Finance,Programming/Technical,PR,Java,,,,
Finance,Programming/Technical,PR,Python,,,,
Finance,Programming/Technical,PR,R,,,,
Finance,Programming/Technical,PR,Machine Learning models,,,,
Finance,Business,BU,Visualization,,,,
Finance,Soft Skill,SS,Collaboration,,,,
Finance,Soft Skill,SS,Agile,,,,
Finance,Soft Skill,SS,Quantitative,,,,
Finance,Soft Skill,SS,Good Communication,,,,
Finance,Programming/Technical,PR,Hadoop,,,,
Finance,Programming/Technical,PR,Stack,,,,
Finance,Programming/Technical,PR,NLP,,,,
Finance,Programming/Technical,PR,Python,,,,
Finance,Soft Skill,SS,Good Communication,,,,
Finance,Programming/Technical,PR,Database Management,,,,
Finance,Soft Skill,SS,Collaboration,,,,
Finance,Soft Skill,SS,Self-Starter,,,,
Finance,Soft Skill,SS,Curiosity,,,,
Finance,Programming/Technical,PR,Data Structures,,,,
Finance,Programming/Technical,PR,Pig,,,,
Finance,Programming/Technical,PR,Hive ,,,,
Finance,Programming/Technical,PR,Impala,,,,
Finance,Programming/Technical,PR,Hadoop,,,,
Finance,Programming/Technical,PR,MapReduce,,,,
Finance,Programming/Technical,PR,Command Line,,,,
Finance,Programming/Technical,PR,Linux,,,,
Finance,Programming/Technical,PR,DevOps Tools,,,,
Finance,Programming/Technical,PR,Python,,,,
Finance,Programming/Technical,PR,Java,,,,
Finance,Programming/Technical,PR,C,,,,
Finance,Programming/Technical,PR,C++,,,,
Finance,Programming/Technical,PR,Scala,,,,
Finance,Programming/Technical,PR,Bash,,,,
Finance,Programming/Technical,PR,RDF,,,,
Finance,Programming/Technical,PR,SPARQL,,,,
Finance,Programming/Technical,PR,Spark,,,,
Finance,Programming/Technical,PR,HDFS,,,,
Finance,Programming/Technical,PR,Hive ,,,,
Finance,Business ,BU,Team Management,,,,
Aviation,Programming/Technical,PR,Java,,,,
Aviation,Programming/Technical,PR,Javascript,,,,
Aviation,Programming/Technical,PR,SQL,,,,
Aviation,Programming/Technical,PR,Agile,,,,
Aviation,Business,BU,Technology,,,,
Aviation,Mathematics,MAT,Regerssion,,,,
Aviation,Mathematics,MAT,Statistics,,,,
Aviation,Programming/Technical,PR,Objectoriented programming,,,,
Aviation,Programming/Technical,PR,Python,,,,
Aviation,Business,BU,Microsoft,,,,
Aviation,Programming/Technical,PR,SAS,,,,
Aviation,Analysis/Research,AN,Tableau,,,,
Aviation,Business,BU,Management,,,,
Aviation,Soft Skill,SS,Driven,,,,
Aviation,Business,BU,Planning,,,,
Aviation,Business,BU,Team Management,,,,
Aviation,Business,BU,Knowledge,,,,
Aviation,Soft Skill,SS,Good Communication,,,,
Aviation,Soft Skill,SS,Strategic,,,,
Aviation,Soft Skill,SS,Creative,,,,
Aviation,Soft Skill,SS,Leadership,,,,
Aviation,Soft Skill,SS,Team player,,,,
Aviation,Business,BU,Microsoft Office,,,,
Aviation,Programming/Technical,PR,Agile,,,,
Aviation,Programming/Technical,PR,Python,,,,
Aviation,Programming/Technical,PR,SAS,,,,
Aviation,Programming/Technical,PR,Simulation,,,,
Aviation,Analysis/Research,AN,Tableau,,,,
Aviation,Soft Skill,SS,Good Communication,,,,
Aviation,Soft Skill,SS,Interpersonal Skills,,,,
Aviation,Soft Skill,SS,Knowledge,,,,
Aviation,Soft Skill,SS,Focus,,,,
Aviation,Soft Skill,SS,Leadership,,,,
Aviation,Soft Skill,SS,Attention To Detail,,,,
Aviation,Soft Skill,SS,Self-Starter,,,,
Pharmaceutical,Programming/Technical,PR,SQL,,,,
Pharmaceutical,Programming/Technical,PR,NoSQL,,,,
Pharmaceutical,Analysis/Research,AN,Historians,,,,
Pharmaceutical,Programming/Technical,PR,Hadoop,,,,
Pharmaceutical,Business,BU,Technical Teaching,,,,
Pharmaceutical,Business,BU,Strong Presentation Skills,,,,
Pharmaceutical,Soft Skill,SS,Good Communication,,,,
Pharmaceutical,Soft Skill,SS,Interpersonal Skills,,,,
Pharmaceutical,Business,BU,Quality by Design Experience,,,,
Pharmaceutical,Programming/Technical,PR,Build Machine Learning Models,,,,
Pharmaceutical,Business,BU,Classifications,,,,
Pharmaceutical,Programming/Technical,PR,Build Statisical Learning Models,,,,
Pharmaceutical,Mathematics,MAT,Regression,,,,
Pharmaceutical,Programming/Technical,PR,Spark,,,,
